scheduler,patronID,drink,execTime,waitTime,turnaroundTime,queueLevel
ASJF,0,White Wine,25,0,26,0
ASJF,1,Cider,25,26,54,0
ASJF,2,Cider,25,1,26,0
ASJF,1,B52,200,13,218,0
ASJF,0,Tequila shot,20,202,227,0
ASJF,3,White Wine,25,23,53,0
ASJF,0,Red Wine,25,26,56,0
ASJF,2,Bloody Mary,70,190,263,0
ASJF,1,Martini,60,149,210,0
ASJF,5,Beer,25,20,50,0
ASJF,3,Beer,25,43,72,0
ASJF,4,Martini,60,234,295,0
ASJF,0,Gin and Tonic,40,107,149,0
ASJF,5,Beer,25,32,60,0
ASJF,3,Gin and Tonic,40,28,69,0
ASJF,2,Mojito,75,145,225,0
ASJF,4,Tequila shot,20,77,102,0
ASJF,1,Margarita,75,228,308,0
ASJF,4,White Wine,25,77,107,0
ASJF,2,Margarita,75,23,102,0
ASJF,7,Cider,25,60,91,0
ASJF,1,Martini,60,56,121,0
ASJF,4,Gin and Tonic,40,24,69,0
ASJF,6,Pina Colada,100,426,531,0
ASJF,3,Pina Colada,100,430,535,0
ASJF,9,Draft Beer,50,93,148,0
ASJF,6,Gin and Tonic,40,42,82,0
ASJF,11,Gin and Tonic,40,35,75,0
ASJF,3,White Wine,25,14,43,0
ASJF,12,White Wine,25,28,58,0
ASJF,8,Bloody Mary,70,364,436,0
ASJF,13,Beer,25,75,101,0
ASJF,6,Beer,25,89,117,0
ASJF,10,Bloody Mary,70,291,366,0
ASJF,1,Pina Colada,100,550,655,0
ASJF,11,Mojito,75,257,337,0
ASJF,13,Cosmopolitan,65,189,256,0
ASJF,6,Bloody Mary,70,228,303,0
ASJF,13,White Wine,25,22,52,0
ASJF,5,B52,200,1355,1560,0
ASJF,10,Martini,60,414,476,0
ASJF,16,White Wine,25,180,210,0
ASJF,11,Draft Beer,50,362,414,0
ASJF,3,Pina Colada,100,797,901,0
ASJF,12,Pina Colada,100,870,975,0
ASJF,5,White Wine,25,346,376,0
ASJF,15,Draft Beer,50,553,608,0
ASJF,14,Cosmopolitan,65,673,740,0
ASJF,6,Draft Beer,50,594,648,0
ASJF,10,Vodka shot,20,388,413,0
ASJF,19,White Wine,25,412,438,0
ASJF,18,Martini,60,542,607,0
ASJF,3,Red Wine,25,311,338,0
ASJF,12,Cider,25,228,253,0
ASJF,20,Gin and Tonic,40,355,397,0
ASJF,14,Vodka shot,20,214,236,0
ASJF,13,Pina Colada,100,851,956,0
ASJF,21,Beer,25,350,376,0
ASJF,16,Bloody Mary,70,684,758,0
ASJF,17,Pina Colada,100,997,1097,0
ASJF,5,Draft Beer,50,567,622,0
ASJF,18,Tequila shot,20,368,389,0
ASJF,19,Red Wine,25,415,443,0
ASJF,11,Pina Colada,100,965,1068,0
ASJF,8,B52,200,1864,2069,0
ASJF,22,Martini,60,791,856,0
ASJF,13,Red Wine,25,562,592,0
ASJF,14,Cosmopolitan,65,816,886,0
ASJF,12,Bloody Mary,70,850,926,0
ASJF,3,Margarita,75,905,985,0
ASJF,23,Martini,60,781,846,0
ASJF,19,White Wine,25,545,574,0
ASJF,25,Tequila shot,20,474,499,0
ASJF,11,Cider,25,529,555,0
ASJF,20,Pina Colada,100,1105,1209,0
ASJF,26,Red Wine,25,609,639,0
ASJF,24,Bloody Mary,70,891,965,0
ASJF,17,Margarita,75,971,1051,0
ASJF,28,Beer,25,652,680,0
ASJF,21,Pina Colada,100,1277,1381,0
ASJF,22,Cider,25,714,741,0
ASJF,27,Martini,60,863,928,0
ASJF,29,Draft Beer,50,831,882,0
ASJF,15,B52,200,2019,2223,0
ASJF,10,B52,200,2175,2380,0
ASJF,6,B52,200,2305,2510,0
ASJF,13,Cosmopolitan,65,1409,1475,0
ASJF,11,Red Wine,25,1148,1177,0
ASJF,17,Tequila shot,20,908,933,0
ASJF,23,Cosmopolitan,65,1275,1345,0
ASJF,24,Cider,25,1014,1043,0
ASJF,19,Martini,60,1304,1366,0
ASJF,26,Gin and Tonic,40,1182,1227,0
ASJF,21,Cider,25,976,1004,0
ASJF,20,Mojito,75,1319,1399,0
ASJF,27,Gin and Tonic,40,998,1042,0
ASJF,22,Cosmopolitan,65,1118,1185,0
ASJF,10,Tequila shot,20,748,770,0
ASJF,29,Margarita,75,1093,1172,0
ASJF,15,Pina Colada,100,1058,1158,0
ASJF,23,Red Wine,25,514,544,0
ASJF,24,Vodka shot,20,466,491,0
ASJF,6,Bloody Mary,70,804,879,0
ASJF,13,Mojito,75,769,848,0
ASJF,11,Martini,60,718,783,0
ASJF,20,Beer,25,481,511,0
ASJF,27,Red Wine,25,464,493,0
ASJF,28,B52,200,1858,2062,0
ASJF,29,Vodka shot,20,571,596,0
ASJF,19,Cosmopolitan,65,941,1007,0
ASJF,21,Bloody Mary,70,941,1011,0
ASJF,15,Tequila shot,20,596,619,0
ASJF,26,Margarita,75,1056,1136,0
ASJF,23,Vodka shot,20,639,661,0
ASJF,24,Gin and Tonic,40,788,828,0
ASJF,10,Margarita,75,1065,1146,0
ASJF,22,Mojito,75,1120,1198,0
ASJF,19,Cider,25,347,376,0
ASJF,29,Gin and Tonic,40,491,536,0
ASJF,20,Bloody Mary,70,711,784,0
ASJF,28,Cosmopolitan,65,643,711,0
ASJF,27,Margarita,75,777,852,0
ASJF,26,Beer,25,431,461,0
ASJF,15,Martini,60,624,685,0
ASJF,29,Cider,25,196,226,0
ASJF,19,Draft Beer,50,283,338,0
ASJF,23,Pina Colada,100,668,771,0
ASJF,10,Mojito,75,569,649,0
ASJF,26,Beer,25,228,256,0
ASJF,20,Draft Beer,50,386,437,0
ASJF,27,Draft Beer,50,360,413,0
ASJF,29,Draft Beer,50,272,327,0
ASJF,20,Tequila shot,20,6,31,0
ASJF,28,Pina Colada,100,599,700,0
ASJF,27,Beer,25,78,103,0
ASJF,19,Mojito,75,427,504,0
ASJF,26,Martini,60,286,351,0
ASJF,28,Beer,25,46,75,0
ASJF,15,Pina Colada,100,669,774,0
ASJF,28,Martini,60,4,68,0
ASJF,27,Pina Colada,100,237,338,0
