scheduler,patronID,drink,execTime,waitTime,turnaroundTime,queueLevel
MLFQ,0,Beer,25,4,34,0
MLFQ,1,White Wine,25,48,79,0
MLFQ,2,Margarita,75,1,81,0
MLFQ,3,B52,200,27,232,0
MLFQ,4,Cosmopolitan,65,102,170,0
MLFQ,5,Draft Beer,50,65,115,0
MLFQ,6,White Wine,25,113,142,0
MLFQ,1,Tequila shot,20,338,363,1
MLFQ,2,Beer,25,295,320,1
MLFQ,3,Pina Colada,100,187,290,1
MLFQ,4,B52,200,181,383,1
MLFQ,7,White Wine,25,160,188,0
MLFQ,8,Cosmopolitan,65,62,129,0
MLFQ,9,White Wine,25,24,54,0
MLFQ,6,Beer,25,333,361,1
MLFQ,10,Cosmopolitan,65,11,79,0
MLFQ,8,Gin and Tonic,40,76,121,1
MLFQ,11,Gin and Tonic,40,9,50,0
MLFQ,12,Martini,60,23,89,0
MLFQ,13,Pina Colada,100,82,186,0
MLFQ,14,Draft Beer,50,138,192,0
MLFQ,15,Red Wine,25,149,179,0
MLFQ,16,Vodka shot,20,179,204,0
MLFQ,17,Tequila shot,20,154,179,0
MLFQ,18,Cider,25,135,165,0
MLFQ,19,Mojito,75,115,195,0
MLFQ,20,White Wine,25,0,27,0
MLFQ,7,Beer,25,580,609,1
MLFQ,10,White Wine,25,513,542,1
MLFQ,21,Pina Colada,100,5,110,0
MLFQ,9,Martini,60,649,712,1
MLFQ,22,B52,200,62,265,0
MLFQ,23,Pina Colada,100,208,309,0
MLFQ,24,Pina Colada,100,185,287,0
MLFQ,25,Bloody Mary,70,280,351,0
MLFQ,26,Gin and Tonic,40,289,333,0
MLFQ,27,Bloody Mary,70,257,332,0
MLFQ,28,B52,200,210,413,0
MLFQ,29,Gin and Tonic,40,228,272,0
MLFQ,30,Draft Beer,50,268,322,0
MLFQ,31,Draft Beer,50,172,226,0
MLFQ,32,Cider,25,191,221,0
MLFQ,33,B52,200,189,392,0
MLFQ,34,Draft Beer,50,128,182,0
MLFQ,35,White Wine,25,96,125,0
MLFQ,11,Beer,25,1854,1881,1
MLFQ,16,Tequila shot,20,1704,1729,1
MLFQ,14,Pina Colada,100,1686,1786,1
MLFQ,36,Red Wine,25,62,92,0
MLFQ,37,Gin and Tonic,40,9,51,0
MLFQ,38,Cider,25,40,70,0
MLFQ,39,Bloody Mary,70,19,93,0
MLFQ,40,Draft Beer,50,50,103,0
MLFQ,15,Cosmopolitan,65,1941,2008,1
MLFQ,41,Bloody Mary,70,41,115,0
MLFQ,42,Cosmopolitan,65,58,128,0
MLFQ,43,Vodka shot,20,77,98,0
MLFQ,44,Gin and Tonic,40,28,73,0
MLFQ,45,Red Wine,25,45,71,0
MLFQ,18,Vodka shot,20,2217,2240,1
MLFQ,19,Beer,25,2156,2186,1
MLFQ,20,Bloody Mary,70,2115,2189,1
MLFQ,46,Cider,25,54,83,0
MLFQ,21,Tequila shot,20,2083,2108,1
MLFQ,22,Red Wine,25,1955,1982,1
MLFQ,23,Cider,25,1768,1796,1
MLFQ,25,Martini,60,1590,1655,1
MLFQ,26,Gin and Tonic,40,1652,1695,1
MLFQ,47,Pina Colada,100,5,110,0
MLFQ,27,Red Wine,25,1685,1712,1
MLFQ,28,Tequila shot,20,1652,1675,1
MLFQ,29,Beer,25,1529,1559,1
MLFQ,30,Martini,60,1512,1577,1
MLFQ,48,White Wine,25,33,62,0
MLFQ,31,Cider,25,1555,1584,1
MLFQ,32,White Wine,25,1552,1582,1
MLFQ,33,Pina Colada,100,1469,1573,1
MLFQ,35,Bloody Mary,70,1350,1425,1
MLFQ,36,White Wine,25,1236,1264,1
MLFQ,37,Tequila shot,20,1260,1285,1
MLFQ,38,White Wine,25,1265,1295,1
MLFQ,39,Cosmopolitan,65,1170,1239,1
MLFQ,40,Pina Colada,100,1236,1341,1
MLFQ,43,Tequila shot,20,1208,1229,1
