scheduler,patronID,drink,execTime,waitTime,turnaroundTime,queueLevel
PRIORITY,0,Red Wine,25,2,32,0
PRIORITY,1,Vodka shot,20,1,26,0
PRIORITY,2,Margarita,75,6,86,0
PRIORITY,0,Draft Beer,50,37,88,0
PRIORITY,3,Beer,25,27,57,0
PRIORITY,4,Bloody Mary,70,0,74,0
PRIORITY,0,Martini,60,63,125,0
PRIORITY,3,Tequila shot,20,97,122,0
PRIORITY,5,Gin and Tonic,40,1,42,0
PRIORITY,0,Tequila shot,20,5,29,0
PRIORITY,4,Cosmopolitan,65,52,120,0
PRIORITY,0,Draft Beer,50,65,119,0
PRIORITY,4,White Wine,25,1,29,0
PRIORITY,5,Cider,25,63,93,0
PRIORITY,6,Margarita,75,183,263,0
PRIORITY,0,Cider,25,38,68,0
PRIORITY,5,Cosmopolitan,65,7,74,0
PRIORITY,4,Bloody Mary,70,62,136,0
PRIORITY,5,Margarita,75,26,106,0
PRIORITY,6,White Wine,25,175,203,0
PRIORITY,7,Tequila shot,20,506,530,0
PRIORITY,8,Red Wine,25,463,491,0
PRIORITY,4,Mojito,75,12,90,0
PRIORITY,5,Tequila shot,20,78,102,0
PRIORITY,6,B52,200,5,207,0
PRIORITY,4,Margarita,75,114,194,0
PRIORITY,5,Draft Beer,50,281,335,0
PRIORITY,6,Beer,25,124,151,0
PRIORITY,4,B52,200,1,203,0
PRIORITY,5,White Wine,25,128,156,0
PRIORITY,6,Cider,25,131,160,0
PRIORITY,7,White Wine,25,759,788,0
PRIORITY,8,Cosmopolitan,65,610,679,0
PRIORITY,9,White Wine,25,1242,1271,0
PRIORITY,10,Draft Beer,50,1255,1307,0
PRIORITY,7,Gin and Tonic,40,2,47,0
PRIORITY,8,White Wine,25,75,100,0
PRIORITY,11,Martini,60,1324,1388,0
PRIORITY,9,Mojito,75,40,117,0
PRIORITY,7,White Wine,25,57,84,0
PRIORITY,8,Vodka shot,20,17,42,0
PRIORITY,10,Cider,25,164,192,0
PRIORITY,8,Red Wine,25,25,54,0
PRIORITY,11,Martini,60,76,136,0
PRIORITY,9,Red Wine,25,59,87,0
PRIORITY,7,Cider,25,19,49,0
PRIORITY,10,Margarita,75,46,126,0
PRIORITY,8,B52,200,47,250,0
PRIORITY,7,Pina Colada,100,181,282,0
PRIORITY,8,Pina Colada,100,94,197,0
PRIORITY,9,Martini,60,370,433,0
PRIORITY,7,Cider,25,51,79,0
PRIORITY,10,B52,200,425,630,0
PRIORITY,7,B52,200,101,304,0
PRIORITY,8,Margarita,75,379,457,0
PRIORITY,9,Pina Colada,100,404,505,0
