scheduler,patronID,drink,execTime,waitTime,turnaroundTime,queueLevel
PRIORITY,0,Red Wine,25,2,30,0
PRIORITY,1,Vodka shot,20,0,25,0
PRIORITY,1,Margarita,75,0,77,0
PRIORITY,2,Draft Beer,50,0,56,0
PRIORITY,1,Beer,25,39,69,0
PRIORITY,2,Bloody Mary,70,0,75,0
PRIORITY,2,Martini,60,0,63,0
PRIORITY,3,Tequila shot,20,0,20,0
PRIORITY,3,Gin and Tonic,40,0,45,0
PRIORITY,3,Cosmopolitan,65,31,102,0
PRIORITY,3,Tequila shot,20,0,23,0
PRIORITY,3,Margarita,75,0,75,0
PRIORITY,3,Draft Beer,50,0,54,0
PRIORITY,3,Tequila shot,20,0,25,0
PRIORITY,4,Cider,25,0,29,0
PRIORITY,5,Red Wine,25,0,28,0
PRIORITY,4,White Wine,25,1,31,0
PRIORITY,5,White Wine,25,0,30,0
PRIORITY,6,Draft Beer,50,0,51,0
PRIORITY,4,Cider,25,47,74,0
PRIORITY,7,Martini,60,35,100,0
PRIORITY,5,Bloody Mary,70,3,78,0
PRIORITY,4,Beer,25,37,67,0
PRIORITY,6,White Wine,25,95,125,0
PRIORITY,8,Cosmopolitan,65,173,240,0
PRIORITY,4,Margarita,75,0,79,0
PRIORITY,5,Bloody Mary,70,57,130,0
PRIORITY,6,Mojito,75,70,150,0
PRIORITY,4,Tequila shot,20,71,93,0
PRIORITY,8,White Wine,25,207,236,0
PRIORITY,4,B52,200,27,232,0
PRIORITY,5,Draft Beer,50,189,242,0
PRIORITY,6,Draft Beer,50,203,257,0
PRIORITY,8,Cosmopolitan,65,160,227,0
PRIORITY,5,Draft Beer,50,18,73,0
PRIORITY,6,Margarita,75,19,95,0
PRIORITY,8,Beer,25,82,108,0
PRIORITY,9,Cider,25,401,430,0
PRIORITY,6,Martini,60,0,63,0
PRIORITY,9,B52,200,0,203,0
PRIORITY,9,Cider,25,0,26,0
PRIORITY,9,B52,200,0,201,0
PRIORITY,9,White Wine,25,0,30,0
PRIORITY,9,Cider,25,0,30,0
PRIORITY,9,Bloody Mary,70,0,73,0
