scheduler,patronID,drink,execTime,waitTime,turnaroundTime,queueLevel
PRIORITY,0,Red Wine,25,3,33,0
PRIORITY,1,Vodka shot,20,0,25,0
PRIORITY,2,Margarita,75,6,86,0
PRIORITY,1,Draft Beer,50,78,129,0
PRIORITY,3,Beer,25,28,58,0
PRIORITY,2,Bloody Mary,70,0,75,0
PRIORITY,1,Tequila shot,20,8,33,0
PRIORITY,3,Gin and Tonic,40,8,53,0
PRIORITY,1,Cosmopolitan,65,42,112,0
PRIORITY,4,Martini,60,164,228,0
PRIORITY,2,Tequila shot,20,63,84,0
PRIORITY,3,Margarita,75,42,121,0
PRIORITY,2,Draft Beer,50,77,132,0
PRIORITY,4,Red Wine,25,43,69,0
PRIORITY,3,White Wine,25,2,29,0
PRIORITY,5,Tequila shot,20,159,182,0
PRIORITY,6,Cider,25,138,168,0
PRIORITY,5,Draft Beer,50,28,82,0
PRIORITY,7,White Wine,25,160,188,0
PRIORITY,4,Martini,60,15,76,0
PRIORITY,3,Bloody Mary,70,48,123,0
PRIORITY,5,White Wine,25,67,92,0
PRIORITY,6,Cosmopolitan,65,151,221,0
PRIORITY,8,Cider,25,323,353,0
PRIORITY,9,Beer,25,156,184,0
PRIORITY,3,Bloody Mary,70,6,78,0
PRIORITY,5,White Wine,25,50,79,0
PRIORITY,6,Margarita,75,108,187,0
PRIORITY,8,Mojito,75,109,186,0
PRIORITY,3,B52,200,36,239,0
PRIORITY,6,Draft Beer,50,197,249,0
PRIORITY,3,Draft Beer,50,41,94,0
PRIORITY,8,Draft Beer,50,196,250,0
PRIORITY,6,Margarita,75,3,83,0
PRIORITY,9,Tequila shot,20,603,628,0
PRIORITY,8,Beer,25,3,33,0
PRIORITY,9,Martini,60,26,91,0
PRIORITY,6,B52,200,36,237,0
PRIORITY,9,B52,200,86,290,0
PRIORITY,6,White Wine,25,195,225,0
PRIORITY,9,Gin and Tonic,40,20,64,0
PRIORITY,10,Cider,25,884,910,0
PRIORITY,11,Cosmopolitan,65,889,959,0
PRIORITY,12,Cider,25,607,637,0
PRIORITY,9,Red Wine,25,14,44,0
PRIORITY,10,Mojito,75,31,111,0
PRIORITY,11,Cider,25,90,117,0
PRIORITY,12,Draft Beer,50,38,92,0
PRIORITY,9,Cosmopolitan,65,14,84,0
PRIORITY,10,Vodka shot,20,45,70,0
PRIORITY,11,Beer,25,50,77,0
PRIORITY,9,Martini,60,1,66,0
PRIORITY,10,Pina Colada,100,91,191,0
PRIORITY,11,Tequila shot,20,65,89,0
PRIORITY,12,Martini,60,213,277,0
PRIORITY,11,Margarita,75,62,139,0
PRIORITY,10,Pina Colada,100,44,149,0
PRIORITY,11,B52,200,25,230,0
PRIORITY,10,Gin and Tonic,40,81,124,0
PRIORITY,11,White Wine,25,33,61,0
PRIORITY,12,Martini,60,351,412,0
PRIORITY,13,Cider,25,1453,1481,0
PRIORITY,10,Pina Colada,100,9,114,0
PRIORITY,11,Cosmopolitan,65,45,114,0
PRIORITY,12,Tequila shot,20,93,117,0
PRIORITY,14,Bloody Mary,70,1639,1713,0
PRIORITY,10,Bloody Mary,70,45,118,0
PRIORITY,12,Martini,60,146,207,0
PRIORITY,15,B52,200,1821,2025,0
PRIORITY,16,White Wine,25,1987,2016,0
PRIORITY,15,Tequila shot,20,18,43,0
PRIORITY,17,Cosmopolitan,65,1851,1919,0
PRIORITY,15,Cider,25,66,95,0
PRIORITY,18,White Wine,25,1769,1799,0
PRIORITY,16,Margarita,75,1,81,0
PRIORITY,15,White Wine,25,9,39,0
PRIORITY,17,Margarita,75,119,196,0
PRIORITY,16,B52,200,23,227,0
PRIORITY,15,B52,200,129,333,0
PRIORITY,16,Pina Colada,100,194,297,0
PRIORITY,15,Gin and Tonic,40,92,133,0
PRIORITY,17,Cosmopolitan,65,471,540,0
PRIORITY,18,Pina Colada,100,660,763,0
PRIORITY,15,White Wine,25,62,92,0
PRIORITY,16,Bloody Mary,70,124,199,0
PRIORITY,17,Pina Colada,100,158,258,0
PRIORITY,15,Beer,25,25,50,0
PRIORITY,19,Beer,25,2866,2896,0
PRIORITY,16,Red Wine,25,4,34,0
PRIORITY,20,Red Wine,25,2844,2874,0
