scheduler,patronID,drink,execTime,waitTime,turnaroundTime,queueLevel
PRIORITY,0,White Wine,25,2,28,0
PRIORITY,1,Cider,25,33,63,0
PRIORITY,2,B52,200,0,206,0
PRIORITY,0,Bloody Mary,70,173,248,0
PRIORITY,1,Tequila shot,20,259,284,0
PRIORITY,2,Martini,60,90,154,0
PRIORITY,1,Beer,25,61,88,0
PRIORITY,3,Cider,25,401,429,0
PRIORITY,4,White Wine,25,358,385,0
PRIORITY,0,Gin and Tonic,40,21,66,0
PRIORITY,2,Mojito,75,17,97,0
PRIORITY,1,Margarita,75,80,157,0
PRIORITY,0,Tequila shot,20,46,72,0
PRIORITY,3,Beer,25,153,182,0
PRIORITY,0,Pina Colada,100,26,131,0
PRIORITY,1,Pina Colada,100,76,178,0
PRIORITY,2,B52,200,230,433,0
PRIORITY,0,Pina Colada,100,183,288,0
PRIORITY,1,Draft Beer,50,187,242,0
PRIORITY,3,Margarita,75,472,549,0
PRIORITY,4,Gin and Tonic,40,756,800,0
PRIORITY,1,Beer,25,19,45,0
PRIORITY,5,Red Wine,25,1204,1234,0
PRIORITY,3,Mojito,75,21,100,0
PRIORITY,4,Cosmopolitan,65,23,94,0
PRIORITY,6,Martini,60,1341,1406,0
PRIORITY,3,Draft Beer,50,26,81,0
PRIORITY,5,Martini,60,119,182,0
PRIORITY,6,White Wine,25,9,39,0
PRIORITY,7,Beer,25,1404,1430,0
PRIORITY,3,Cosmopolitan,65,22,88,0
PRIORITY,5,Draft Beer,50,13,68,0
PRIORITY,7,White Wine,25,20,50,0
PRIORITY,6,Draft Beer,50,29,84,0
PRIORITY,8,White Wine,25,1376,1404,0
PRIORITY,5,Vodka shot,20,13,36,0
PRIORITY,9,Cider,25,1265,1291,0
PRIORITY,5,Bloody Mary,70,24,99,0
PRIORITY,6,Gin and Tonic,40,56,98,0
PRIORITY,7,Red Wine,25,101,130,0
PRIORITY,8,Draft Beer,50,48,101,0
PRIORITY,9,B52,200,100,305,0
PRIORITY,5,B52,200,179,383,0
PRIORITY,6,B52,200,380,585,0
PRIORITY,5,Pina Colada,100,196,300,0
PRIORITY,7,Martini,60,623,684,0
PRIORITY,8,Red Wine,25,684,714,0
PRIORITY,9,Bloody Mary,70,598,673,0
PRIORITY,5,Martini,60,47,110,0
PRIORITY,7,Margarita,75,56,136,0
PRIORITY,8,White Wine,25,68,98,0
PRIORITY,9,Martini,60,22,87,0
PRIORITY,7,Beer,25,11,38,0
PRIORITY,10,Martini,60,2623,2688,0
PRIORITY,8,Cider,25,4,32,0
PRIORITY,9,Cosmopolitan,65,9,74,0
PRIORITY,7,Martini,60,56,117,0
PRIORITY,8,Mojito,75,26,105,0
PRIORITY,9,Gin and Tonic,40,90,135,0
PRIORITY,10,Red Wine,25,170,200,0
PRIORITY,11,Gin and Tonic,40,2972,3017,0
PRIORITY,12,Bloody Mary,70,3007,3081,0
PRIORITY,13,Gin and Tonic,40,2846,2889,0
PRIORITY,14,Bloody Mary,70,2879,2952,0
PRIORITY,15,Gin and Tonic,40,2889,2932,0
PRIORITY,12,Margarita,75,11,90,0
PRIORITY,13,Pina Colada,100,83,188,0
PRIORITY,12,Bloody Mary,70,22,94,0
PRIORITY,15,Tequila shot,20,147,170,0
PRIORITY,16,White Wine,25,3205,3231,0
PRIORITY,13,Martini,60,1,64,0
PRIORITY,15,Red Wine,25,88,118,0
PRIORITY,17,White Wine,25,3209,3238,0
PRIORITY,12,Vodka shot,20,27,50,0
PRIORITY,18,Beer,25,3237,3266,0
PRIORITY,13,Cosmopolitan,65,3,70,0
PRIORITY,15,Margarita,75,1,78,0
PRIORITY,13,Margarita,75,23,100,0
PRIORITY,17,Bloody Mary,70,126,199,0
PRIORITY,15,Red Wine,25,69,97,0
PRIORITY,13,Mojito,75,19,99,0
PRIORITY,18,Beer,25,303,332,0
PRIORITY,19,Pina Colada,100,3625,3730,0
PRIORITY,13,Tequila shot,20,21,43,0
PRIORITY,15,Gin and Tonic,40,84,129,0
PRIORITY,17,Vodka shot,20,161,185,0
PRIORITY,18,Vodka shot,20,94,116,0
PRIORITY,17,Bloody Mary,70,21,94,0
PRIORITY,18,Margarita,75,71,150,0
PRIORITY,19,Cosmopolitan,65,149,219,0
PRIORITY,20,Pina Colada,100,4071,4176,0
PRIORITY,19,Gin and Tonic,40,53,96,0
PRIORITY,21,B52,200,4165,4367,0
PRIORITY,19,Martini,60,89,151,0
PRIORITY,20,Cider,25,188,216,0
PRIORITY,21,Pina Colada,100,82,186,0
PRIORITY,20,Beer,25,2,31,0
PRIORITY,22,Bloody Mary,70,4529,4603,0
PRIORITY,23,Pina Colada,100,4174,4277,0
PRIORITY,20,Draft Beer,50,76,127,0
PRIORITY,21,Mojito,75,138,218,0
PRIORITY,22,Cider,25,83,111,0
PRIORITY,20,Draft Beer,50,8,61,0
PRIORITY,23,Pina Colada,100,95,199,0
PRIORITY,20,Beer,25,1,30,0
PRIORITY,22,Draft Beer,50,85,137,0
PRIORITY,24,Pina Colada,100,4666,4771,0
PRIORITY,22,Draft Beer,50,4,58,0
PRIORITY,23,Pina Colada,100,122,227,0
PRIORITY,24,Mojito,75,41,118,0
PRIORITY,25,White Wine,25,4994,5024,0
PRIORITY,26,Martini,60,5008,5072,0
PRIORITY,23,Martini,60,51,115,0
PRIORITY,24,Tequila shot,20,48,72,0
PRIORITY,25,Beer,25,5,32,0
PRIORITY,24,Beer,25,25,55,0
PRIORITY,26,Pina Colada,100,35,140,0
PRIORITY,24,Martini,60,1,66,0
PRIORITY,27,White Wine,25,5363,5393,0
PRIORITY,28,Pina Colada,100,5364,5468,0
PRIORITY,24,Vodka shot,20,22,42,0
PRIORITY,26,Beer,25,98,128,0
PRIORITY,24,Martini,60,27,88,0
PRIORITY,27,B52,200,67,272,0
PRIORITY,24,Martini,60,92,157,0
PRIORITY,26,Cider,25,230,260,0
PRIORITY,27,Draft Beer,50,88,138,0
PRIORITY,28,Martini,60,345,405,0
PRIORITY,29,Cider,25,5950,5975,0
PRIORITY,30,Beer,25,5852,5882,0
PRIORITY,27,Margarita,75,17,97,0
PRIORITY,28,Bloody Mary,70,27,102,0
PRIORITY,29,White Wine,25,83,113,0
PRIORITY,27,Tequila shot,20,24,49,0
PRIORITY,30,Margarita,75,111,191,0
PRIORITY,27,Vodka shot,20,77,102,0
PRIORITY,28,Red Wine,25,7,35,0
PRIORITY,27,White Wine,25,26,53,0
PRIORITY,29,Margarita,75,34,113,0
PRIORITY,30,Beer,25,79,108,0
PRIORITY,31,Vodka shot,20,6300,6323,0
PRIORITY,28,Gin and Tonic,40,9,54,0
PRIORITY,29,Gin and Tonic,40,21,65,0
PRIORITY,30,White Wine,25,14,41,0
PRIORITY,31,Red Wine,25,116,146,0
PRIORITY,32,Tequila shot,20,6371,6396,0
PRIORITY,28,White Wine,25,16,46,0
PRIORITY,29,Tequila shot,20,2,24,0
PRIORITY,32,Bloody Mary,70,51,125,0
PRIORITY,29,White Wine,25,71,100,0
PRIORITY,30,Cosmopolitan,65,63,128,0
PRIORITY,31,B52,200,100,305,0
PRIORITY,29,B52,200,120,321,0
PRIORITY,30,Vodka shot,20,354,378,0
PRIORITY,29,Cider,25,14,39,0
PRIORITY,30,Vodka shot,20,23,48,0
PRIORITY,31,Gin and Tonic,40,269,313,0
PRIORITY,32,B52,200,472,674,0
PRIORITY,31,Gin and Tonic,40,93,135,0
PRIORITY,32,Mojito,75,31,106,0
PRIORITY,33,Cosmopolitan,65,7459,7524,0
PRIORITY,31,Gin and Tonic,40,31,77,0
PRIORITY,34,Margarita,75,7385,7465,0
PRIORITY,32,Red Wine,25,77,107,0
PRIORITY,33,Draft Beer,50,105,159,0
PRIORITY,34,Margarita,75,1,80,0
PRIORITY,35,Red Wine,25,7455,7484,0
PRIORITY,32,Red Wine,25,14,43,0
PRIORITY,33,White Wine,25,35,64,0
PRIORITY,34,Red Wine,25,9,34,0
PRIORITY,36,Pina Colada,100,7394,7495,0
PRIORITY,32,White Wine,25,5,35,0
PRIORITY,33,Gin and Tonic,40,9,54,0
PRIORITY,34,Tequila shot,20,28,53,0
PRIORITY,35,Cosmopolitan,65,139,209,0
PRIORITY,34,Mojito,75,68,147,0
PRIORITY,32,Martini,60,71,134,0
PRIORITY,35,Cider,25,92,118,0
PRIORITY,36,Gin and Tonic,40,220,267,0
PRIORITY,37,Bloody Mary,70,7657,7728,0
PRIORITY,38,Cider,25,7666,7696,0
PRIORITY,39,Tequila shot,20,7658,7682,0
PRIORITY,36,Margarita,75,14,91,0
PRIORITY,39,Pina Colada,100,75,177,0
PRIORITY,36,B52,200,19,219,0
PRIORITY,37,Gin and Tonic,40,283,328,0
PRIORITY,36,Martini,60,35,100,0
PRIORITY,39,B52,200,194,399,0
PRIORITY,36,Cosmopolitan,65,96,166,0
PRIORITY,37,Pina Colada,100,232,336,0
PRIORITY,36,Cosmopolitan,65,51,116,0
PRIORITY,40,Red Wine,25,8618,8643,0
PRIORITY,41,Draft Beer,50,8478,8532,0
PRIORITY,36,Martini,60,30,92,0
PRIORITY,37,Cider,25,85,113,0
PRIORITY,42,Cosmopolitan,65,8578,8648,0
PRIORITY,40,Martini,60,65,128,0
PRIORITY,37,Draft Beer,50,32,83,0
PRIORITY,41,B52,200,175,378,0
PRIORITY,40,Vodka shot,20,142,165,0
PRIORITY,41,Red Wine,25,13,43,0
PRIORITY,40,White Wine,25,28,57,0
PRIORITY,42,Mojito,75,352,427,0
PRIORITY,43,Cider,25,8957,8987,0
PRIORITY,44,Tequila shot,20,8976,8997,0
PRIORITY,45,B52,200,8981,9183,0
PRIORITY,40,Pina Colada,100,179,282,0
PRIORITY,42,Martini,60,249,312,0
PRIORITY,43,Pina Colada,100,289,393,0
PRIORITY,40,Bloody Mary,70,44,118,0
PRIORITY,44,Tequila shot,20,546,571,0
PRIORITY,45,Red Wine,25,361,391,0
PRIORITY,43,Margarita,75,10,90,0
PRIORITY,44,B52,200,107,311,0
PRIORITY,40,Martini,60,188,253,0
PRIORITY,43,Pina Colada,100,188,290,0
PRIORITY,44,White Wine,25,155,185,0
PRIORITY,46,Cider,25,9975,10002,0
PRIORITY,47,Cosmopolitan,65,9950,10017,0
PRIORITY,43,Margarita,75,2,82,0
PRIORITY,44,Cider,25,24,50,0
PRIORITY,46,Vodka shot,20,71,95,0
PRIORITY,47,Martini,60,80,144,0
PRIORITY,43,Vodka shot,20,34,58,0
PRIORITY,44,Pina Colada,100,12,113,0
PRIORITY,43,Red Wine,25,99,129,0
PRIORITY,46,Martini,60,219,279,0
PRIORITY,47,Draft Beer,50,106,161,0
PRIORITY,44,Tequila shot,20,25,47,0
PRIORITY,48,Gin and Tonic,40,10464,10507,0
PRIORITY,43,Pina Colada,100,32,132,0
PRIORITY,44,Draft Beer,50,142,195,0
PRIORITY,47,Mojito,75,119,195,0
PRIORITY,48,Gin and Tonic,40,121,165,0
PRIORITY,49,Mojito,75,10320,10398,0
PRIORITY,47,Cosmopolitan,65,9,80,0
PRIORITY,48,Draft Beer,50,39,91,0
PRIORITY,49,Tequila shot,20,11,34,0
PRIORITY,47,Martini,60,23,87,0
PRIORITY,49,Tequila shot,20,61,86,0
PRIORITY,48,Gin and Tonic,40,11,56,0
PRIORITY,47,Gin and Tonic,40,0,45,0
PRIORITY,47,Margarita,75,0,80,0
