scheduler,patronID,drink,execTime,waitTime,turnaroundTime,queueLevel
SJF,0,Red Wine,25,0,30,0
SJF,1,Vodka shot,20,1,25,0
SJF,2,Margarita,75,6,84,0
SJF,1,Draft Beer,50,75,140,0
SJF,3,Beer,25,42,71,0
SJF,2,Bloody Mary,70,15,89,0
SJF,1,Tequila shot,20,3,25,0
SJF,4,Martini,60,51,112,0
SJF,1,Gin and Tonic,40,59,104,0
SJF,3,Cosmopolitan,65,103,173,0
SJF,2,Tequila shot,20,49,71,0
SJF,4,Margarita,75,26,106,0
SJF,3,Tequila shot,20,54,77,0
SJF,5,Cider,25,77,106,0
SJF,6,Red Wine,25,62,89,0
SJF,3,White Wine,25,55,83,0
SJF,7,White Wine,25,54,84,0
SJF,2,Draft Beer,50,218,268,0
SJF,5,Cider,25,34,59,0
SJF,4,Draft Beer,50,136,190,0
SJF,8,Martini,60,112,176,0
SJF,5,White Wine,25,16,48,0
SJF,9,Beer,25,16,45,0
SJF,6,Cosmopolitan,65,168,239,0
SJF,3,Bloody Mary,70,215,290,0
SJF,5,White Wine,25,29,60,0
SJF,9,Bloody Mary,70,80,154,0
SJF,8,Margarita,75,213,290,0
SJF,3,Tequila shot,20,31,54,0
SJF,6,Mojito,75,241,321,0
SJF,9,Draft Beer,50,34,88,0
SJF,8,Draft Beer,50,77,128,0
SJF,3,B52,200,187,390,0
SJF,6,Cider,25,197,223,0
SJF,8,Beer,25,129,156,0
SJF,11,Draft Beer,50,228,280,0
SJF,3,Martini,60,96,156,0
SJF,10,Cosmopolitan,65,365,431,0
SJF,12,Cider,25,57,87,0
SJF,9,Margarita,75,421,497,0
SJF,10,White Wine,25,57,87,0
SJF,12,Cider,25,3,33,0
SJF,6,B52,200,274,479,0
SJF,12,White Wine,25,102,130,0
SJF,15,Red Wine,25,97,125,0
SJF,6,Cider,25,47,77,0
SJF,14,Gin and Tonic,40,189,231,0
SJF,10,Cosmopolitan,65,215,285,0
SJF,12,White Wine,25,21,49,0
SJF,15,Beer,25,20,49,0
SJF,10,Vodka shot,20,4,29,0
SJF,17,Draft Beer,50,128,183,0
SJF,10,Beer,25,53,83,0
SJF,15,Martini,60,10,75,0
SJF,12,Red Wine,25,54,80,0
SJF,17,Red Wine,25,19,49,0
SJF,10,Cider,25,20,49,0
SJF,19,Martini,60,99,161,0
SJF,21,Tequila shot,20,47,72,0
SJF,15,Red Wine,25,64,93,0
SJF,21,White Wine,25,28,55,0
SJF,10,Martini,60,46,110,0
SJF,19,White Wine,25,37,65,0
SJF,26,Beer,25,11,37,0
SJF,25,Gin and Tonic,40,99,144,0
SJF,6,Cosmopolitan,65,650,716,0
SJF,10,Tequila shot,20,55,80,0
SJF,19,Martini,60,15,79,0
SJF,24,Cosmopolitan,65,349,419,0
SJF,21,Cosmopolitan,65,257,327,0
SJF,19,Tequila shot,20,38,60,0
SJF,24,Cider,25,45,74,0
SJF,28,White Wine,25,0,28,0
SJF,9,Bloody Mary,70,1421,1496,0
SJF,27,Bloody Mary,70,365,440,0
SJF,16,Mojito,75,1418,1496,0
SJF,9,Cosmopolitan,65,3,73,0
SJF,20,Margarita,75,1018,1094,0
SJF,16,Gin and Tonic,40,36,79,0
SJF,9,Bloody Mary,70,67,141,0
SJF,20,White Wine,25,37,67,0
SJF,23,Margarita,75,1152,1229,0
SJF,26,Margarita,75,940,1017,0
SJF,9,Beer,25,34,61,0
SJF,20,Red Wine,25,32,60,0
SJF,19,Margarita,75,795,874,0
SJF,26,Draft Beer,50,57,111,0
SJF,21,Margarita,75,904,982,0
SJF,20,Tequila shot,20,59,80,0
SJF,18,Pina Colada,100,1867,1969,0
SJF,20,Beer,25,99,128,0
SJF,26,Martini,60,127,191,0
