scheduler,patronID,drink,execTime,waitTime,turnaroundTime,queueLevel
PRIORITY,0,White Wine,25,3,32,0
PRIORITY,1,Cider,25,40,70,0
PRIORITY,2,Cider,25,0,26,0
PRIORITY,1,B52,200,0,202,0
PRIORITY,0,Tequila shot,20,195,219,0
PRIORITY,1,Martini,60,13,75,0
PRIORITY,0,Red Wine,25,64,94,0
PRIORITY,2,Bloody Mary,70,226,301,0
PRIORITY,3,White Wine,25,200,225,0
PRIORITY,1,Beer,25,22,47,0
PRIORITY,4,Martini,60,201,266,0
PRIORITY,0,Gin and Tonic,40,40,83,0
PRIORITY,1,Margarita,75,8,86,0
PRIORITY,2,Mojito,75,87,167,0
PRIORITY,3,Beer,25,141,168,0
PRIORITY,1,Pina Colada,100,24,129,0
PRIORITY,2,B52,200,22,227,0
PRIORITY,3,White Wine,25,207,236,0
PRIORITY,4,Gin and Tonic,40,458,500,0
PRIORITY,5,Beer,25,730,759,0
PRIORITY,6,Tequila shot,20,498,523,0
PRIORITY,7,Pina Colada,100,299,402,0
PRIORITY,3,Gin and Tonic,40,49,93,0
PRIORITY,4,Bloody Mary,70,91,164,0
PRIORITY,5,Pina Colada,100,146,248,0
PRIORITY,3,Gin and Tonic,40,66,111,0
PRIORITY,6,Cider,25,368,396,0
PRIORITY,4,White Wine,25,25,54,0
PRIORITY,8,Margarita,75,480,560,0
PRIORITY,3,Beer,25,29,59,0
PRIORITY,5,Beer,25,96,126,0
PRIORITY,6,Mojito,75,73,151,0
PRIORITY,3,Pina Colada,100,11,114,0
PRIORITY,5,Cosmopolitan,65,81,148,0
PRIORITY,6,B52,200,56,261,0
PRIORITY,3,Draft Beer,50,149,202,0
PRIORITY,5,Martini,60,208,271,0
PRIORITY,6,Draft Beer,50,107,158,0
PRIORITY,8,Pina Colada,100,612,716,0
PRIORITY,6,Pina Colada,100,5,109,0
PRIORITY,9,Martini,60,1388,1451,0
PRIORITY,10,Draft Beer,50,1325,1378,0
PRIORITY,11,Gin and Tonic,40,1350,1395,0
PRIORITY,6,Martini,60,39,102,0
PRIORITY,10,Vodka shot,20,6,28,0
PRIORITY,12,Bloody Mary,70,1405,1480,0
PRIORITY,10,Bloody Mary,70,72,146,0
PRIORITY,11,Pina Colada,100,123,227,0
PRIORITY,12,Gin and Tonic,40,27,69,0
PRIORITY,13,White Wine,25,1649,1675,0
PRIORITY,10,Cider,25,22,50,0
PRIORITY,14,Bloody Mary,70,1159,1232,0
PRIORITY,11,Draft Beer,50,50,105,0
PRIORITY,10,Beer,25,27,57,0
PRIORITY,12,B52,200,104,309,0
PRIORITY,10,Red Wine,25,102,130,0
PRIORITY,11,Martini,60,164,227,0
PRIORITY,12,Cosmopolitan,65,82,152,0
PRIORITY,13,Vodka shot,20,408,432,0
PRIORITY,10,Margarita,75,8,85,0
PRIORITY,11,Pina Colada,100,59,161,0
PRIORITY,13,Red Wine,25,178,208,0
PRIORITY,14,B52,200,544,749,0
PRIORITY,11,White Wine,25,113,143,0
PRIORITY,13,Cider,25,84,113,0
PRIORITY,14,Tequila shot,20,51,72,0
PRIORITY,15,White Wine,25,2160,2190,0
PRIORITY,16,Cosmopolitan,65,2137,2204,0
PRIORITY,11,Martini,60,3,68,0
PRIORITY,13,Red Wine,25,85,111,0
PRIORITY,15,Draft Beer,50,7,62,0
PRIORITY,16,Beer,25,97,127,0
PRIORITY,17,White Wine,25,2257,2287,0
PRIORITY,18,Draft Beer,50,2227,2281,0
PRIORITY,13,Cider,25,21,47,0
PRIORITY,15,Cosmopolitan,65,41,107,0
PRIORITY,19,Pina Colada,100,2271,2376,0
PRIORITY,13,Red Wine,25,70,100,0
PRIORITY,15,Mojito,75,81,158,0
PRIORITY,17,Cosmopolitan,65,210,278,0
PRIORITY,18,Martini,60,272,333,0
PRIORITY,15,Cider,25,16,46,0
PRIORITY,17,Tequila shot,20,42,67,0
PRIORITY,19,Gin and Tonic,40,172,213,0
PRIORITY,20,White Wine,25,2511,2541,0
PRIORITY,21,White Wine,25,2368,2398,0
PRIORITY,15,B52,200,24,228,0
PRIORITY,19,Cider,25,153,183,0
PRIORITY,20,Cosmopolitan,65,113,182,0
PRIORITY,21,Gin and Tonic,40,157,200,0
