scheduler,patronID,drink,execTime,waitTime,turnaroundTime,queueLevel
MLFQ,0,Beer,25,3,33,0
MLFQ,0,White Wine,25,0,31,1
MLFQ,0,Margarita,75,1,80,2
MLFQ,0,B52,200,1,205,2
MLFQ,1,Tequila shot,20,69,93,0
MLFQ,0,Beer,25,15,41,2
MLFQ,1,Cosmopolitan,65,24,89,1
MLFQ,2,Draft Beer,50,60,112,0
MLFQ,0,White Wine,25,18,47,2
MLFQ,3,Pina Colada,100,1,105,0
MLFQ,2,B52,200,71,275,1
MLFQ,4,Gin and Tonic,40,196,237,0
MLFQ,5,Beer,25,202,231,0
MLFQ,6,Draft Beer,50,139,194,0
MLFQ,7,Cosmopolitan,65,143,210,0
MLFQ,8,White Wine,25,119,148,0
MLFQ,3,White Wine,25,312,340,1
MLFQ,4,Cosmopolitan,65,106,176,1
MLFQ,9,Gin and Tonic,40,52,94,0
MLFQ,5,Gin and Tonic,40,197,242,1
MLFQ,6,Beer,25,184,214,1
MLFQ,7,Mojito,75,201,281,1
MLFQ,10,Pina Colada,100,55,156,0
MLFQ,11,Vodka shot,20,99,121,0
MLFQ,8,White Wine,25,273,303,1
MLFQ,12,Cider,25,21,49,0
MLFQ,9,Draft Beer,50,232,287,1
MLFQ,13,Mojito,75,44,123,0
MLFQ,14,Pina Colada,100,47,152,0
MLFQ,15,White Wine,25,30,58,0
MLFQ,11,Tequila shot,20,330,355,1
MLFQ,10,Tequila shot,20,259,280,1
MLFQ,12,Cosmopolitan,65,222,292,1
MLFQ,13,Vodka shot,20,144,170,1
MLFQ,16,Cider,25,20,46,0
MLFQ,17,Bloody Mary,70,45,119,0
MLFQ,15,Vodka shot,20,95,117,1
MLFQ,2,White Wine,25,1246,1276,2
MLFQ,16,Tequila shot,20,25,49,1
MLFQ,4,Martini,60,932,994,2
MLFQ,18,Bloody Mary,70,38,110,0
MLFQ,17,Gin and Tonic,40,62,105,1
MLFQ,3,Martini,60,1084,1146,2
MLFQ,5,Red Wine,25,1030,1059,2
MLFQ,6,Vodka shot,20,1040,1064,2
MLFQ,18,Bloody Mary,70,18,90,1
MLFQ,7,Beer,25,1049,1076,2
MLFQ,11,Pina Colada,100,703,808,2
MLFQ,10,Beer,25,785,813,2
MLFQ,13,B52,200,716,921,2
MLFQ,19,Draft Beer,50,145,197,0
MLFQ,20,Draft Beer,50,114,167,0
MLFQ,21,Red Wine,25,156,185,0
MLFQ,22,Cider,25,134,164,0
MLFQ,23,Tequila shot,20,120,142,0
MLFQ,19,Beer,25,35,61,1
MLFQ,23,Martini,60,25,88,1
MLFQ,24,Draft Beer,50,50,104,0
MLFQ,25,White Wine,25,49,78,0
MLFQ,26,Cosmopolitan,65,9,79,0
MLFQ,27,Bloody Mary,70,55,128,0
MLFQ,20,Cider,25,300,329,1
MLFQ,28,Draft Beer,50,6,61,0
MLFQ,22,White Wine,25,327,355,1
MLFQ,21,Pina Colada,100,335,436,1
MLFQ,24,Cider,25,288,316,1
MLFQ,26,Bloody Mary,70,266,340,1
MLFQ,25,Vodka shot,20,311,332,1
MLFQ,27,White Wine,25,188,218,1
MLFQ,28,Tequila shot,20,183,206,1
MLFQ,15,Pina Colada,100,1705,1810,2
MLFQ,16,Pina Colada,100,1755,1860,2
MLFQ,29,Vodka shot,20,88,111,0
MLFQ,4,Red Wine,25,1708,1738,2
MLFQ,29,Tequila shot,20,28,52,1
MLFQ,17,B52,200,1652,1857,2
MLFQ,6,Cider,25,1844,1874,2
MLFQ,18,Gin and Tonic,40,1652,1697,2
MLFQ,11,Martini,60,1591,1656,2
MLFQ,10,Gin and Tonic,40,1649,1692,2
MLFQ,13,B52,200,1579,1784,2
MLFQ,19,Red Wine,25,1479,1506,2
MLFQ,23,Gin and Tonic,40,1430,1472,2
MLFQ,22,White Wine,25,1094,1124,2
MLFQ,21,Bloody Mary,70,1050,1125,2
MLFQ,25,Cosmopolitan,65,1120,1189,2
MLFQ,24,Cosmopolitan,65,1185,1255,2
MLFQ,28,Pina Colada,100,1206,1307,2
MLFQ,26,Beer,25,1235,1262,2
MLFQ,27,Gin and Tonic,40,1210,1255,2
MLFQ,15,Red Wine,25,1157,1186,2
MLFQ,16,Red Wine,25,1081,1110,2
MLFQ,4,Vodka shot,20,1031,1056,2
MLFQ,17,Vodka shot,20,962,987,2
MLFQ,18,Cider,25,811,840,2
MLFQ,10,Tequila shot,20,732,757,2
MLFQ,13,Draft Beer,50,653,709,2
MLFQ,19,B52,200,537,742,2
MLFQ,23,Gin and Tonic,40,745,789,2
MLFQ,22,Red Wine,25,718,748,2
MLFQ,25,White Wine,25,703,733,2
MLFQ,28,Tequila shot,20,490,514,2
MLFQ,4,Pina Colada,100,474,579,2
MLFQ,27,White Wine,25,556,585,2
MLFQ,17,Draft Beer,50,584,639,2
MLFQ,10,Beer,25,585,615,2
MLFQ,15,White Wine,25,603,629,2
MLFQ,16,Margarita,75,603,681,2
MLFQ,18,Mojito,75,644,722,2
MLFQ,13,Cosmopolitan,65,643,713,2
MLFQ,19,Tequila shot,20,601,626,2
MLFQ,23,Tequila shot,20,480,505,2
MLFQ,22,Margarita,75,431,509,2
MLFQ,25,B52,200,483,684,2
MLFQ,4,Margarita,75,583,660,2
MLFQ,27,Martini,60,600,665,2
MLFQ,15,Bloody Mary,70,556,629,2
MLFQ,19,Cider,25,523,551,2
MLFQ,23,B52,200,526,730,2
MLFQ,13,Mojito,75,730,806,2
MLFQ,25,B52,200,518,723,2
MLFQ,4,Vodka shot,20,572,597,2
MLFQ,27,Draft Beer,50,506,559,2
MLFQ,15,Draft Beer,50,442,497,2
MLFQ,23,White Wine,25,407,434,2
MLFQ,13,Gin and Tonic,40,260,305,2
MLFQ,27,Draft Beer,50,27,81,2
