scheduler,patronID,drink,execTime,waitTime,turnaroundTime,queueLevel
FCFS,0,Red Wine,25,0,30,0
FCFS,1,Vodka shot,20,0,24,0
FCFS,2,Margarita,75,4,84,0
FCFS,0,Draft Beer,50,38,91,0
FCFS,3,Beer,25,25,56,0
FCFS,4,Bloody Mary,70,0,75,0
FCFS,0,Martini,60,66,131,0
FCFS,3,Tequila shot,20,103,125,0
FCFS,5,Gin and Tonic,40,0,43,0
FCFS,4,Cosmopolitan,65,28,98,0
FCFS,0,Tequila shot,20,75,97,0
FCFS,6,Margarita,75,71,151,0
FCFS,7,Draft Beer,50,104,159,0
FCFS,0,Tequila shot,20,133,154,0
FCFS,5,Cider,25,135,165,0
FCFS,4,Red Wine,25,155,183,0
FCFS,8,White Wine,25,174,202,0
FCFS,9,White Wine,25,118,148,0
FCFS,10,Draft Beer,50,129,181,0
FCFS,0,Cider,25,168,198,0
FCFS,6,Martini,60,197,262,0
FCFS,11,Cosmopolitan,65,220,291,0
FCFS,7,Bloody Mary,70,258,332,0
FCFS,5,White Wine,25,279,309,0
FCFS,12,Beer,25,258,285,0
FCFS,4,Margarita,75,257,337,0
FCFS,8,Bloody Mary,70,309,382,0
FCFS,9,White Wine,25,355,384,0
FCFS,10,Mojito,75,382,461,0
FCFS,13,Tequila shot,20,460,485,0
FCFS,6,B52,200,378,583,0
FCFS,11,Draft Beer,50,575,636,0
FCFS,14,Draft Beer,50,533,588,0
FCFS,15,Cider,25,580,610,0
FCFS,16,Cosmopolitan,65,579,647,0
FCFS,7,Draft Beer,50,623,678,0
FCFS,12,Margarita,75,674,754,0
FCFS,5,Beer,25,728,758,0
FCFS,4,Martini,60,722,785,0
FCFS,17,B52,200,672,878,0
FCFS,13,Cider,25,863,890,0
FCFS,8,B52,200,876,1081,0
FCFS,18,White Wine,25,1071,1101,0
FCFS,9,Cider,25,1085,1114,0
FCFS,19,Bloody Mary,70,1108,1182,0
FCFS,10,B52,200,1147,1352,0
FCFS,6,White Wine,25,1225,1251,0
FCFS,11,Gin and Tonic,40,1095,1140,0
FCFS,20,Cosmopolitan,65,1117,1187,0
FCFS,21,Red Wine,25,1175,1206,0
FCFS,14,Mojito,75,1183,1265,0
FCFS,15,Cider,25,1240,1268,0
FCFS,22,Draft Beer,50,1146,1198,0
FCFS,7,White Wine,25,1199,1226,0
FCFS,23,Cosmopolitan,65,1212,1278,0
FCFS,24,Beer,25,1241,1271,0
FCFS,12,Vodka shot,20,1260,1282,0
FCFS,25,Beer,25,1238,1268,0
FCFS,5,Pina Colada,100,1262,1366,0
FCFS,26,Martini,60,1330,1392,0
FCFS,27,Red Wine,25,1367,1396,0
FCFS,4,Martini,60,1391,1453,0
FCFS,28,Red Wine,25,1446,1474,0
FCFS,29,Cider,25,1448,1476,0
FCFS,17,Margarita,75,1404,1483,0
FCFS,30,Tequila shot,20,1365,1388,0
FCFS,13,Red Wine,25,1388,1418,0
FCFS,31,B52,200,1401,1603,0
FCFS,32,Margarita,75,1551,1629,0
FCFS,8,White Wine,25,1587,1617,0
FCFS,33,Pina Colada,100,1548,1650,0
FCFS,34,Martini,60,1638,1702,0
FCFS,9,B52,200,1631,1836,0
FCFS,36,Cosmopolitan,65,1836,1904,0
FCFS,35,Gin and Tonic,40,1904,1949,0
FCFS,18,White Wine,25,1931,1961,0
FCFS,37,Beer,25,1960,1986,0
FCFS,38,Pina Colada,100,1918,2020,0
FCFS,39,Cosmopolitan,65,1996,2063,0
FCFS,19,Tequila shot,20,2054,2078,0
FCFS,40,Margarita,75,2048,2128,0
FCFS,41,Martini,60,2099,2159,0
FCFS,10,Bloody Mary,70,2157,2232,0
FCFS,42,Tequila shot,20,2196,2220,0
FCFS,43,Cider,25,2175,2205,0
FCFS,44,Margarita,75,2140,2220,0
FCFS,6,Margarita,75,2202,2281,0
FCFS,11,White Wine,25,2274,2304,0
FCFS,20,Pina Colada,100,2298,2400,0
FCFS,45,B52,200,2323,2524,0
FCFS,46,B52,200,2456,2657,0
FCFS,47,Cosmopolitan,65,2636,2705,0
FCFS,14,Pina Colada,100,2696,2800,0
FCFS,15,Gin and Tonic,40,2780,2825,0
FCFS,22,Bloody Mary,70,2773,2845,0
FCFS,12,White Wine,25,2798,2828,0
FCFS,7,Pina Colada,100,2802,2907,0
FCFS,24,Beer,25,2858,2888,0
FCFS,48,Red Wine,25,2858,2888,0
FCFS,5,Draft Beer,50,2742,2795,0
FCFS,26,Tequila shot,20,2740,2765,0
FCFS,49,Beer,25,2736,2766,0
FCFS,27,Martini,60,2727,2788,0
FCFS,4,Bloody Mary,70,2764,2839,0
FCFS,29,Beer,25,2793,2820,0
FCFS,30,Cider,25,2816,2844,0
FCFS,28,Red Wine,25,2828,2854,0
FCFS,17,Pina Colada,100,2817,2922,0
FCFS,13,Cosmopolitan,65,2796,2866,0
FCFS,31,White Wine,25,2807,2837,0
FCFS,32,Pina Colada,100,2686,2791,0
FCFS,8,Vodka shot,20,2691,2711,0
FCFS,33,Tequila shot,20,2641,2664,0
FCFS,34,Pina Colada,100,2608,2713,0
FCFS,9,Red Wine,25,2613,2642,0
FCFS,36,Margarita,75,2528,2608,0
FCFS,35,B52,200,2508,2713,0
FCFS,18,Draft Beer,50,2643,2698,0
FCFS,19,White Wine,25,2621,2651,0
FCFS,39,Red Wine,25,2626,2656,0
FCFS,38,Martini,60,2655,2718,0
FCFS,40,Red Wine,25,2588,2618,0
FCFS,42,Gin and Tonic,40,2536,2578,0
FCFS,41,Cider,25,2566,2596,0
FCFS,43,Mojito,75,2480,2560,0
FCFS,44,Martini,60,2503,2564,0
FCFS,11,Gin and Tonic,40,2381,2425,0
FCFS,20,Vodka shot,20,2350,2375,0
FCFS,45,Mojito,75,2285,2364,0
FCFS,47,Cider,25,2054,2082,0
FCFS,14,Cider,25,1909,1939,0
FCFS,15,Margarita,75,1903,1983,0
FCFS,22,Tequila shot,20,1865,1887,0
FCFS,12,Vodka shot,20,1859,1884,0
FCFS,7,Draft Beer,50,1808,1862,0
FCFS,24,Pina Colada,100,1851,1951,0
FCFS,26,Martini,60,1944,2007,0
FCFS,48,Draft Beer,50,1935,1990,0
FCFS,5,Cosmopolitan,65,1988,2055,0
FCFS,27,White Wine,25,1929,1955,0
FCFS,29,Draft Beer,50,1866,1917,0
FCFS,28,Draft Beer,50,1811,1864,0
FCFS,17,Draft Beer,50,1794,1849,0
FCFS,13,Draft Beer,50,1845,1895,0
FCFS,8,Bloody Mary,70,1788,1863,0
FCFS,31,Tequila shot,20,1840,1865,0
FCFS,9,Draft Beer,50,1578,1633,0
FCFS,36,Red Wine,25,1625,1655,0
FCFS,35,Red Wine,25,1520,1546,0
FCFS,18,Margarita,75,1402,1478,0
FCFS,19,Draft Beer,50,1396,1451,0
FCFS,39,Draft Beer,50,1422,1477,0
FCFS,38,Bloody Mary,70,1455,1527,0
FCFS,40,Beer,25,1456,1483,0
FCFS,42,B52,200,1482,1682,0
FCFS,41,Tequila shot,20,1667,1687,0
FCFS,43,Margarita,75,1594,1669,0
FCFS,20,Vodka shot,20,1649,1674,0
FCFS,44,Red Wine,25,1637,1666,0
FCFS,11,Mojito,75,1624,1704,0
FCFS,45,B52,200,1603,1805,0
FCFS,14,Gin and Tonic,40,1754,1800,0
FCFS,22,B52,200,1798,2002,0
FCFS,12,B52,200,1978,2179,0
FCFS,15,Martini,60,2149,2214,0
FCFS,7,White Wine,25,2149,2175,0
FCFS,24,Pina Colada,100,2070,2175,0
FCFS,26,Vodka shot,20,2126,2150,0
FCFS,27,Cider,25,1957,1983,0
FCFS,29,Mojito,75,1985,2063,0
FCFS,28,Vodka shot,20,2009,2034,0
FCFS,17,Vodka shot,20,1981,2001,0
FCFS,31,Vodka shot,20,1949,1975,0
FCFS,13,Margarita,75,1974,2053,0
FCFS,8,Pina Colada,100,1929,2032,0
