scheduler,patronID,drink,execTime,waitTime,turnaroundTime,queueLevel
MLFQ,0,Red Wine,25,5,34,0
MLFQ,1,Vodka shot,20,0,25,0
MLFQ,2,Margarita,75,7,87,0
MLFQ,1,Draft Beer,50,77,132,1
MLFQ,3,Beer,25,34,64,0
MLFQ,2,Bloody Mary,70,2,73,1
MLFQ,4,Martini,60,14,77,0
MLFQ,3,Gin and Tonic,40,34,75,1
MLFQ,1,Tequila shot,20,105,130,2
MLFQ,1,Cosmopolitan,65,0,66,2
MLFQ,4,Margarita,75,24,103,1
MLFQ,5,Tequila shot,20,16,40,0
MLFQ,2,Tequila shot,20,155,178,2
MLFQ,6,Red Wine,25,20,49,0
MLFQ,5,Cider,25,51,78,1
MLFQ,7,Draft Beer,50,10,64,0
MLFQ,3,Draft Beer,50,226,278,2
MLFQ,8,Cider,25,15,44,0
MLFQ,6,Cosmopolitan,65,12,81,1
MLFQ,2,White Wine,25,262,289,2
MLFQ,4,White Wine,25,261,287,2
MLFQ,8,White Wine,25,21,49,1
MLFQ,9,Margarita,75,3,83,0
MLFQ,5,Martini,60,267,329,2
MLFQ,3,Bloody Mary,70,222,294,2
MLFQ,9,White Wine,25,53,80,1
MLFQ,6,Beer,25,273,300,2
MLFQ,8,Bloody Mary,70,117,192,2
MLFQ,5,Mojito,75,93,170,2
MLFQ,3,Tequila shot,20,59,84,2
MLFQ,6,B52,200,76,281,2
MLFQ,10,Cosmopolitan,65,52,121,0
MLFQ,11,Draft Beer,50,100,154,0
MLFQ,10,Beer,25,1,31,1
MLFQ,9,Draft Beer,50,414,468,2
MLFQ,3,Draft Beer,50,412,466,2
MLFQ,11,Martini,60,36,99,1
MLFQ,12,B52,200,5,207,0
MLFQ,8,Cider,25,688,716,2
MLFQ,12,Bloody Mary,70,18,91,1
MLFQ,13,B52,200,25,230,0
MLFQ,14,White Wine,25,188,217,0
MLFQ,15,Gin and Tonic,40,188,231,0
MLFQ,16,Cosmopolitan,65,194,264,0
MLFQ,17,Mojito,75,73,150,0
MLFQ,15,Cider,25,41,71,1
MLFQ,18,White Wine,25,2,32,0
MLFQ,16,Draft Beer,50,88,141,1
MLFQ,19,Beer,25,1,27,0
MLFQ,17,Cosmopolitan,65,29,97,1
MLFQ,20,Beer,25,9,36,0
MLFQ,21,Red Wine,25,8,37,0
MLFQ,18,Pina Colada,100,56,161,1
MLFQ,22,Cider,25,116,145,0
MLFQ,23,Margarita,75,118,195,0
MLFQ,24,Tequila shot,20,155,176,0
MLFQ,25,B52,200,132,337,0
MLFQ,26,White Wine,25,275,304,0
MLFQ,27,B52,200,121,322,0
MLFQ,28,Cosmopolitan,65,65,133,0
MLFQ,19,Martini,60,776,841,1
MLFQ,20,Red Wine,25,747,777,1
MLFQ,21,Margarita,75,697,773,1
MLFQ,29,Pina Colada,100,76,179,0
MLFQ,24,Pina Colada,100,783,886,1
MLFQ,22,Martini,60,886,949,1
MLFQ,26,Gin and Tonic,40,564,608,1
MLFQ,27,White Wine,25,551,577,1
MLFQ,28,Beer,25,465,493,1
MLFQ,29,Martini,60,142,204,1
MLFQ,6,Margarita,75,2687,2762,2
MLFQ,10,B52,200,2519,2722,2
MLFQ,9,Cider,25,2664,2691,2
MLFQ,3,White Wine,25,2639,2666,2
MLFQ,11,Cider,25,2593,2622,2
MLFQ,12,Red Wine,25,2275,2301,2
MLFQ,15,Vodka shot,20,1890,1913,2
MLFQ,16,Martini,60,1829,1889,2
MLFQ,17,Red Wine,25,1846,1871,2
MLFQ,19,Cosmopolitan,65,933,1003,2
MLFQ,20,Tequila shot,20,935,959,2
MLFQ,21,Margarita,75,955,1036,2
MLFQ,24,Bloody Mary,70,787,861,2
MLFQ,22,Tequila shot,20,807,827,2
MLFQ,26,Cider,25,780,810,2
MLFQ,28,Margarita,75,766,845,2
MLFQ,27,Margarita,75,827,904,2
MLFQ,29,White Wine,25,856,885,2
MLFQ,6,Pina Colada,100,839,940,2
MLFQ,10,B52,200,808,1009,2
MLFQ,9,B52,200,891,1094,2
MLFQ,15,Cosmopolitan,65,1084,1151,2
MLFQ,11,Pina Colada,100,1101,1206,2
MLFQ,3,Gin and Tonic,40,1189,1231,2
MLFQ,12,Bloody Mary,70,1176,1250,2
MLFQ,16,White Wine,25,1202,1231,2
MLFQ,20,Pina Colada,100,1222,1325,2
MLFQ,19,Beer,25,1301,1331,2
MLFQ,17,Red Wine,25,1303,1333,2
MLFQ,21,Draft Beer,50,1224,1279,2
MLFQ,22,Tequila shot,20,1265,1291,2
MLFQ,26,Beer,25,1162,1192,2
MLFQ,24,Martini,60,1192,1257,2
MLFQ,28,Bloody Mary,70,1195,1269,2
MLFQ,6,Beer,25,1020,1047,2
MLFQ,10,Cider,25,961,990,2
MLFQ,9,Red Wine,25,785,814,2
MLFQ,15,Pina Colada,100,705,809,2
MLFQ,11,Cosmopolitan,65,634,704,2
MLFQ,12,White Wine,25,556,586,2
MLFQ,16,Pina Colada,100,560,665,2
MLFQ,20,Vodka shot,20,587,612,2
MLFQ,19,Tequila shot,20,606,631,2
MLFQ,22,Pina Colada,100,619,724,2
MLFQ,17,Red Wine,25,657,684,2
MLFQ,26,Margarita,75,621,698,2
MLFQ,24,B52,200,625,827,2
MLFQ,28,Draft Beer,50,715,767,2
MLFQ,10,White Wine,25,759,789,2
MLFQ,9,Red Wine,25,709,738,2
MLFQ,15,Martini,60,665,725,2
MLFQ,11,Red Wine,25,727,753,2
MLFQ,20,Gin and Tonic,40,641,683,2
MLFQ,12,Cider,25,668,695,2
MLFQ,16,Mojito,75,620,700,2
MLFQ,22,Martini,60,543,604,2
MLFQ,17,Gin and Tonic,40,544,584,2
MLFQ,26,Vodka shot,20,578,600,2
MLFQ,24,Mojito,75,472,548,2
MLFQ,28,Cider,25,405,434,2
MLFQ,10,Cider,25,350,376,2
MLFQ,9,Margarita,75,349,428,2
MLFQ,15,Tequila shot,20,409,429,2
MLFQ,11,Vodka shot,20,359,383,2
MLFQ,20,Draft Beer,50,382,433,2
MLFQ,16,Pina Colada,100,329,434,2
MLFQ,26,Martini,60,416,480,2
MLFQ,17,Draft Beer,50,396,447,2
MLFQ,24,Cosmopolitan,65,349,418,2
MLFQ,28,White Wine,25,394,420,2
MLFQ,10,Draft Beer,50,397,450,2
MLFQ,15,Draft Beer,50,447,502,2
MLFQ,11,Draft Beer,50,478,530,2
MLFQ,16,Draft Beer,50,251,305,2
MLFQ,17,Bloody Mary,70,209,280,2
