scheduler,patronID,drink,execTime,waitTime,turnaroundTime,queueLevel
PRIORITY,0,Beer,25,4,33,0
PRIORITY,0,White Wine,25,0,27,0
PRIORITY,1,Margarita,75,0,76,0
PRIORITY,0,B52,200,0,202,0
PRIORITY,1,Tequila shot,20,128,153,0
PRIORITY,1,Beer,25,0,31,0
PRIORITY,1,Cosmopolitan,65,0,69,0
PRIORITY,1,Draft Beer,50,0,54,0
PRIORITY,2,White Wine,25,45,75,0
PRIORITY,3,Pina Colada,100,13,116,0
PRIORITY,1,Gin and Tonic,40,31,76,0
PRIORITY,4,B52,200,86,291,0
PRIORITY,1,Cosmopolitan,65,91,161,0
PRIORITY,2,Beer,25,271,301,0
PRIORITY,3,Draft Beer,50,228,282,0
PRIORITY,1,White Wine,25,35,64,0
PRIORITY,4,White Wine,25,176,204,0
PRIORITY,5,White Wine,25,383,413,0
PRIORITY,6,Cosmopolitan,65,1,71,0
PRIORITY,3,Gin and Tonic,40,56,97,0
PRIORITY,4,Beer,25,0,30,0
PRIORITY,5,Gin and Tonic,40,2,47,0
PRIORITY,6,Mojito,75,76,152,0
PRIORITY,3,White Wine,25,50,77,0
PRIORITY,5,Martini,60,1,62,0
PRIORITY,6,Martini,60,0,62,0
PRIORITY,3,Pina Colada,100,0,102,0
PRIORITY,5,Draft Beer,50,70,125,0
PRIORITY,6,Vodka shot,20,52,76,0
PRIORITY,7,Red Wine,25,67,97,0
PRIORITY,3,Vodka shot,20,0,23,0
PRIORITY,3,Beer,25,0,28,0
PRIORITY,5,Tequila shot,20,18,43,0
PRIORITY,5,Cider,25,0,27,0
PRIORITY,5,Mojito,75,0,76,0
PRIORITY,8,Tequila shot,20,0,24,0
PRIORITY,8,Pina Colada,100,0,102,0
PRIORITY,9,Cosmopolitan,65,102,172,0
PRIORITY,8,White Wine,25,0,26,0
PRIORITY,9,Vodka shot,20,25,48,0
PRIORITY,8,Pina Colada,100,0,101,0
