scheduler,patronID,drink,execTime,waitTime,turnaroundTime,queueLevel
ASJF,0,Red Wine,25,3,33,0
ASJF,1,Vodka shot,20,1,26,0
ASJF,2,Margarita,75,8,88,0
ASJF,0,Draft Beer,50,44,98,0
ASJF,3,Beer,25,32,61,0
ASJF,4,Bloody Mary,70,1,72,0
ASJF,3,Tequila shot,20,28,50,0
ASJF,0,Martini,60,80,143,0
ASJF,5,Gin and Tonic,40,2,47,0
ASJF,4,Cosmopolitan,65,31,100,0
ASJF,0,Tequila shot,20,55,80,0
ASJF,7,Draft Beer,50,29,83,0
ASJF,0,Tequila shot,20,52,72,0
ASJF,5,Cider,25,59,87,0
ASJF,4,Red Wine,25,75,104,0
ASJF,8,White Wine,25,94,122,0
ASJF,0,White Wine,25,82,112,0
ASJF,10,Cider,25,50,77,0
ASJF,9,Draft Beer,50,98,151,0
ASJF,6,Margarita,75,348,427,0
ASJF,4,White Wine,25,67,94,0
ASJF,8,Beer,25,66,95,0
ASJF,9,White Wine,25,38,64,0
ASJF,6,Tequila shot,20,2,27,0
ASJF,7,Martini,60,305,366,0
ASJF,11,Cosmopolitan,65,327,396,0
ASJF,5,Bloody Mary,70,387,458,0
ASJF,9,Cider,25,75,105,0
ASJF,15,Beer,25,35,64,0
ASJF,12,Bloody Mary,70,390,465,0
ASJF,8,Draft Beer,50,287,342,0
ASJF,10,Margarita,75,537,617,0
ASJF,4,Draft Beer,50,405,457,0
ASJF,5,Cider,25,176,205,0
ASJF,13,Mojito,75,596,675,0
ASJF,11,Draft Beer,50,453,506,0
ASJF,17,White Wine,25,255,285,0
ASJF,18,Cider,25,240,267,0
ASJF,7,Cosmopolitan,65,572,642,0
ASJF,19,White Wine,25,316,345,0
ASJF,16,Martini,60,616,678,0
ASJF,14,Margarita,75,722,798,0
ASJF,5,Red Wine,25,328,358,0
ASJF,10,Gin and Tonic,40,460,503,0
ASJF,11,Cider,25,268,296,0
ASJF,17,Vodka shot,20,216,241,0
ASJF,18,White Wine,25,266,292,0
ASJF,12,Bloody Mary,70,652,727,0
ASJF,7,Beer,25,350,375,0
ASJF,4,Cosmopolitan,65,618,683,0
ASJF,19,Beer,25,312,341,0
ASJF,20,Draft Beer,50,496,550,0
ASJF,14,Red Wine,25,326,355,0
ASJF,17,Red Wine,25,307,335,0
ASJF,10,Tequila shot,20,281,306,0
ASJF,25,Cider,25,339,366,0
ASJF,13,Mojito,75,759,839,0
ASJF,21,Cosmopolitan,65,735,803,0
ASJF,26,Red Wine,25,474,504,0
ASJF,28,White Wine,25,466,493,0
ASJF,23,Martini,60,666,728,0
ASJF,24,Martini,60,695,755,0
ASJF,6,B52,200,1840,2043,0
ASJF,19,White Wine,25,602,631,0
ASJF,30,Beer,25,631,661,0
ASJF,32,Tequila shot,20,593,619,0
ASJF,12,Gin and Tonic,40,763,808,0
ASJF,5,Margarita,75,1010,1090,0
ASJF,18,Martini,60,964,1025,0
ASJF,34,Tequila shot,20,680,701,0
ASJF,27,Margarita,75,1126,1206,0
ASJF,22,Pina Colada,100,1390,1495,0
ASJF,4,Cosmopolitan,65,1164,1232,0
ASJF,13,Cider,25,897,927,0
ASJF,9,B52,200,2297,2502,0
ASJF,37,White Wine,25,1101,1127,0
ASJF,15,B52,200,2497,2702,0
ASJF,20,Cosmopolitan,65,1569,1635,0
ASJF,29,Pina Colada,100,1881,1983,0
ASJF,17,Martini,60,1630,1693,0
ASJF,8,B52,200,2806,3011,0
ASJF,24,White Wine,25,1551,1578,0
ASJF,14,Margarita,75,1957,2036,0
ASJF,33,Bloody Mary,70,1996,2071,0
ASJF,41,Gin and Tonic,40,1802,1845,0
ASJF,44,Beer,25,1696,1724,0
ASJF,6,Red Wine,25,1714,1742,0
ASJF,31,Pina Colada,100,2338,2439,0
ASJF,35,Margarita,75,2199,2279,0
ASJF,36,Margarita,75,2279,2359,0
ASJF,45,Tequila shot,20,1912,1936,0
ASJF,40,Cosmopolitan,65,2228,2298,0
ASJF,30,Beer,25,1957,1987,0
ASJF,47,Beer,25,1944,1974,0
ASJF,12,Cider,25,1935,1962,0
ASJF,42,Bloody Mary,70,2320,2395,0
ASJF,32,Draft Beer,50,2195,2250,0
ASJF,5,Red Wine,25,2046,2073,0
ASJF,38,Pina Colada,100,2616,2720,0
ASJF,28,Pina Colada,100,2646,2749,0
ASJF,48,White Wine,25,2130,2160,0
ASJF,19,Martini,60,2422,2486,0
ASJF,43,Pina Colada,100,2738,2853,0
ASJF,46,Bloody Mary,70,2623,2694,0
ASJF,11,B52,200,3750,3950,0
ASJF,22,Vodka shot,20,2496,2521,0
ASJF,49,Tequila shot,20,2449,2470,0
ASJF,7,B52,200,3844,4049,0
ASJF,18,Cosmopolitan,65,2967,3034,0
ASJF,9,Red Wine,25,2623,2653,0
ASJF,34,Pina Colada,100,3153,3256,0
ASJF,27,Pina Colada,100,3097,3202,0
ASJF,39,B52,200,3877,4082,0
ASJF,26,B52,200,4070,4274,0
ASJF,13,Pina Colada,100,3388,3492,0
ASJF,17,White Wine,25,2811,2839,0
ASJF,15,Margarita,75,3175,3255,0
ASJF,8,Red Wine,25,2812,2842,0
ASJF,29,Draft Beer,50,3003,3058,0
ASJF,14,Red Wine,25,2722,2752,0
ASJF,41,Cider,25,2590,2617,0
ASJF,24,Martini,60,2790,2854,0
