scheduler,patronID,drink,execTime,waitTime,turnaroundTime,queueLevel
ASJF,0,Beer,25,1,30,0
ASJF,1,White Wine,25,39,64,0
ASJF,2,Margarita,75,1,81,0
ASJF,3,B52,200,26,230,0
ASJF,1,Tequila shot,20,204,229,0
ASJF,2,Beer,25,146,176,0
ASJF,5,White Wine,25,51,77,0
ASJF,6,Draft Beer,50,77,132,0
ASJF,4,Cosmopolitan,65,239,307,0
ASJF,3,Pina Colada,100,194,297,0
ASJF,4,Beer,25,52,82,0
ASJF,6,Gin and Tonic,40,101,143,0
ASJF,7,White Wine,25,35,64,0
ASJF,1,B52,200,385,589,0
ASJF,8,White Wine,25,147,175,0
ASJF,6,White Wine,25,149,179,0
ASJF,1,Beer,25,49,79,0
ASJF,3,Draft Beer,50,274,328,0
ASJF,9,Gin and Tonic,40,183,228,0
ASJF,4,Cosmopolitan,65,367,437,0
ASJF,12,White Wine,25,81,111,0
ASJF,14,Vodka shot,20,54,77,0
ASJF,15,Vodka shot,20,33,58,0
ASJF,3,Red Wine,25,91,121,0
ASJF,9,Tequila shot,20,68,93,0
ASJF,7,Cosmopolitan,65,451,521,0
ASJF,11,Gin and Tonic,40,315,358,0
ASJF,16,Beer,25,229,259,0
ASJF,17,Tequila shot,20,209,231,0
ASJF,4,Cider,25,250,279,0
ASJF,6,Draft Beer,50,383,438,0
ASJF,19,White Wine,25,223,253,0
ASJF,10,Mojito,75,647,723,0
ASJF,8,Martini,60,577,640,0
ASJF,13,Martini,60,635,697,0
ASJF,7,Vodka shot,20,367,391,0
ASJF,20,Beer,25,286,313,0
ASJF,16,Cider,25,293,321,0
ASJF,18,Cosmopolitan,65,590,659,0
ASJF,6,Vodka shot,20,282,307,0
ASJF,14,Mojito,75,744,824,0
ASJF,19,Tequila shot,20,312,332,0
ASJF,1,Pina Colada,100,970,1075,0
ASJF,8,Red Wine,25,333,359,0
ASJF,15,Pina Colada,100,953,1058,0
ASJF,7,Gin and Tonic,40,488,533,0
ASJF,20,Cider,25,409,438,0
ASJF,4,Bloody Mary,70,780,855,0
ASJF,6,Gin and Tonic,40,488,533,0
ASJF,11,Pina Colada,100,976,1078,0
ASJF,23,Bloody Mary,70,821,896,0
ASJF,14,Red Wine,25,519,549,0
ASJF,27,Gin and Tonic,40,655,700,0
ASJF,26,Draft Beer,50,780,832,0
ASJF,28,Cider,25,630,661,0
ASJF,24,Bloody Mary,70,932,1006,0
ASJF,18,Martini,60,924,989,0
ASJF,19,Draft Beer,50,910,963,0
ASJF,22,Pina Colada,100,1310,1414,0
ASJF,29,Tequila shot,20,775,799,0
ASJF,30,Beer,25,794,820,0
ASJF,10,Pina Colada,100,1413,1517,0
ASJF,20,Cider,25,814,842,0
ASJF,32,White Wine,25,765,794,0
ASJF,33,White Wine,25,762,790,0
ASJF,6,Red Wine,25,765,795,0
ASJF,15,Martini,60,984,1046,0
ASJF,31,Draft Beer,50,953,1006,0
ASJF,14,Cider,25,663,693,0
ASJF,26,Vodka shot,20,649,674,0
ASJF,35,White Wine,25,640,668,0
ASJF,34,Gin and Tonic,40,756,797,0
ASJF,21,B52,200,2043,2244,0
ASJF,11,Cosmopolitan,65,1129,1194,0
ASJF,18,Tequila shot,20,830,855,0
ASJF,19,White Wine,25,809,835,0
ASJF,28,Draft Beer,50,1031,1082,0
ASJF,23,Bloody Mary,70,1195,1269,0
ASJF,4,Pina Colada,100,1494,1597,0
ASJF,27,Bloody Mary,70,1335,1410,0
ASJF,30,Vodka shot,20,991,1014,0
ASJF,38,Beer,25,1045,1075,0
ASJF,25,B52,200,2422,2624,0
ASJF,40,Red Wine,25,1183,1213,0
ASJF,10,Tequila shot,20,1156,1181,0
ASJF,20,Red Wine,25,1169,1199,0
ASJF,39,Gin and Tonic,40,1314,1356,0
ASJF,41,Vodka shot,20,1183,1208,0
ASJF,32,Vodka shot,20,1190,1214,0
ASJF,29,Cosmopolitan,65,1554,1621,0
ASJF,42,Tequila shot,20,1243,1269,0
ASJF,36,Bloody Mary,70,1649,1723,0
ASJF,33,Cider,25,1354,1381,0
ASJF,37,Cosmopolitan,65,1667,1737,0
ASJF,43,Red Wine,25,1389,1419,0
ASJF,44,Tequila shot,20,1350,1375,0
ASJF,31,White Wine,25,1410,1440,0
ASJF,15,Gin and Tonic,40,1484,1529,0
ASJF,8,B52,200,2768,2973,0
ASJF,6,Draft Beer,50,1758,1813,0
ASJF,35,White Wine,25,1612,1642,0
ASJF,22,Pina Colada,100,2150,2254,0
ASJF,21,Beer,25,1648,1678,0
ASJF,18,White Wine,25,1594,1624,0
ASJF,46,Draft Beer,50,1731,1782,0
ASJF,23,Tequila shot,20,1371,1391,0
ASJF,30,Tequila shot,20,1340,1365,0
ASJF,45,Pina Colada,100,1978,2083,0
ASJF,11,Margarita,75,1807,1882,0
ASJF,19,Cosmopolitan,65,1731,1800,0
ASJF,47,Mojito,75,1811,1886,0
ASJF,10,Cider,25,1403,1433,0
ASJF,38,Martini,60,1594,1659,0
ASJF,4,Margarita,75,1771,1846,0
ASJF,20,Vodka shot,20,1396,1418,0
ASJF,27,Margarita,75,1762,1841,0
ASJF,29,White Wine,25,1439,1466,0
ASJF,25,Bloody Mary,70,1755,1828,0
ASJF,39,Draft Beer,50,1596,1651,0
ASJF,26,B52,200,2848,3053,0
ASJF,37,Vodka shot,20,1600,1620,0
ASJF,42,Draft Beer,50,1845,1898,0
ASJF,40,Mojito,75,1992,2070,0
ASJF,33,Gin and Tonic,40,1774,1817,0
ASJF,43,Cider,25,1674,1701,0
ASJF,36,Draft Beer,50,1834,1889,0
ASJF,44,Bloody Mary,70,1885,1960,0
ASJF,35,Cider,25,1442,1472,0
ASJF,21,Vodka shot,20,1389,1415,0
ASJF,23,Tequila shot,20,1409,1434,0
ASJF,15,Margarita,75,1857,1937,0
ASJF,18,Red Wine,25,1441,1471,0
ASJF,8,Margarita,75,1864,1939,0
ASJF,48,B52,200,2933,3138,0
ASJF,31,Pina Colada,100,2255,2355,0
ASJF,45,Red Wine,25,1676,1706,0
ASJF,22,Margarita,75,1975,2054,0
ASJF,49,Martini,60,1915,1979,0
ASJF,30,Margarita,75,2080,2156,0
ASJF,10,Vodka shot,20,1698,1723,0
ASJF,41,B52,200,3160,3365,0
ASJF,32,B52,200,3341,3542,0
ASJF,46,Mojito,75,2535,2615,0
ASJF,38,Vodka shot,20,2134,2159,0
ASJF,11,Martini,60,2435,2498,0
ASJF,4,Beer,25,2180,2207,0
ASJF,19,Margarita,75,2484,2564,0
ASJF,29,Cider,25,2085,2112,0
ASJF,25,Beer,25,2038,2068,0
ASJF,26,Cosmopolitan,65,1950,2019,0
ASJF,37,Mojito,75,2007,2083,0
ASJF,42,Cosmopolitan,65,1931,1998,0
ASJF,33,Draft Beer,50,1867,1920,0
ASJF,21,Gin and Tonic,40,1806,1848,0
ASJF,44,Gin and Tonic,40,1752,1795,0
ASJF,40,Mojito,75,2051,2131,0
ASJF,36,Bloody Mary,70,2004,2077,0
ASJF,23,Cosmopolitan,65,2019,2089,0
ASJF,18,Gin and Tonic,40,1829,1871,0
ASJF,47,B52,200,3109,3312,0
ASJF,31,Vodka shot,20,1724,1745,0
ASJF,27,B52,200,3086,3291,0
ASJF,22,Beer,25,1881,1907,0
ASJF,15,Pina Colada,100,2433,2538,0
ASJF,49,Beer,25,1915,1943,0
ASJF,45,Gin and Tonic,40,2050,2091,0
ASJF,48,Margarita,75,2366,2445,0
ASJF,30,Red Wine,25,2017,2048,0
ASJF,41,Gin and Tonic,40,1891,1936,0
ASJF,10,Mojito,75,2149,2229,0
ASJF,32,Cider,25,1814,1841,0
ASJF,38,Gin and Tonic,40,1743,1788,0
ASJF,35,B52,200,3029,3234,0
ASJF,11,Red Wine,25,1821,1848,0
ASJF,46,Gin and Tonic,40,1937,1980,0
ASJF,29,Beer,25,1765,1795,0
ASJF,25,Beer,25,1768,1797,0
ASJF,8,B52,200,3145,3350,0
ASJF,40,Red Wine,25,1558,1588,0
ASJF,42,Cosmopolitan,65,1869,1935,0
ASJF,37,Margarita,75,1947,2027,0
ASJF,36,Beer,25,1622,1649,0
ASJF,21,Cosmopolitan,65,1894,1964,0
ASJF,33,Mojito,75,2011,2091,0
ASJF,18,Draft Beer,50,1730,1780,0
ASJF,23,Cosmopolitan,65,1884,1954,0
ASJF,44,Pina Colada,100,2118,2221,0
ASJF,47,Cosmopolitan,65,1854,1924,0
ASJF,27,Cosmopolitan,65,1696,1766,0
ASJF,48,Red Wine,25,1412,1441,0
ASJF,19,B52,200,2832,3034,0
ASJF,22,Margarita,75,1879,1957,0
ASJF,15,Cosmopolitan,65,1833,1900,0
ASJF,45,Cosmopolitan,65,1842,1910,0
ASJF,10,Cosmopolitan,65,1671,1737,0
ASJF,46,Red Wine,25,1389,1419,0
ASJF,32,Mojito,75,1754,1834,0
ASJF,8,Gin and Tonic,40,1338,1380,0
ASJF,11,Cosmopolitan,65,1546,1616,0
ASJF,21,Vodka shot,20,1129,1150,0
ASJF,29,Pina Colada,100,1616,1718,0
ASJF,36,Mojito,75,1280,1360,0
ASJF,44,Draft Beer,50,964,1015,0
ASJF,48,Red Wine,25,814,843,0
ASJF,18,Mojito,75,1235,1315,0
ASJF,38,B52,200,2261,2464,0
ASJF,45,Tequila shot,20,808,833,0
ASJF,22,Gin and Tonic,40,939,985,0
ASJF,25,B52,200,2206,2411,0
ASJF,19,Margarita,75,1342,1420,0
ASJF,11,White Wine,25,878,907,0
ASJF,15,Mojito,75,1262,1342,0
ASJF,32,Draft Beer,50,1039,1094,0
ASJF,21,Draft Beer,50,1067,1118,0
ASJF,46,Bloody Mary,70,1188,1262,0
ASJF,36,Red Wine,25,901,931,0
ASJF,48,Beer,25,809,839,0
ASJF,38,Red Wine,25,697,723,0
ASJF,45,White Wine,25,707,736,0
ASJF,29,Mojito,75,1092,1169,0
ASJF,25,Mojito,75,555,634,0
ASJF,48,Tequila shot,20,112,137,0
ASJF,38,Vodka shot,20,58,82,0
ASJF,32,Mojito,75,352,432,0
ASJF,38,White Wine,25,77,104,0
ASJF,48,Gin and Tonic,40,130,171,0
ASJF,46,Cosmopolitan,65,324,391,0
ASJF,29,Draft Beer,50,235,289,0
ASJF,25,Gin and Tonic,40,207,251,0
ASJF,21,Pina Colada,100,614,719,0
ASJF,46,Gin and Tonic,40,155,200,0
